trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.0040867714384640666}",30,19,14.32530403886546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.0038391664740261636}",25,11,23.45592242691437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.0036065631360157305}",20,9,14.04059287124512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.0033880525218347116}",20,16,8.042504165871012,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.0031827807965096669}",35,17,30.587489525741198,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.0029899458563130603}",30,19,21.143335721376623,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.0028087941945255128}",25,7,33.84140869362217,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.0026386179570919216}",35,11,42.79169969379485,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.0024787521766663585}",20,0,26.293988888771587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.0023285721742377138}",30,18,22.54837642220969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.0021874911181828851}",20,10,14.695422142873321,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.0020549577312094589}",20,10,14.925298767795923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.0019304541362277093}",25,9,26.194161668063554,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,14.227156990503703,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,16.69814793018822,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,9.825232131844267,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,18.24803099994422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.827543405482972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,21.979354978283133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,28.876497310246872,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,17,12.106144445339108,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,14.404572388097195,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,19.363047010695226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
